resource,row-count
698fe3520a3ac3da31c23fcbcc05fbfaf55118e4ec348f43f7e6cad065885f02,40
69b3bbfdb70d87462f8c041c4ddf61c73db66b2cde9ad3a6a8531576344b666a,211
6a0babeed8861d23f99af913fbf0b4ca0174949d5659d0d8dd0028d32a9f8cee,21
6a9a2fadde5d38023cc88d97ce04c3e52781d6f5332c79c72bdb89318fab6cc1,83
6b33220e86d6cc397e11a56eb88f7dd7620b0ae7d9318c4ee093b9e5a99770de,79
6b550bfc3c67f77e313aa8c44018e3fb7e0ce2017692f025ed25af4ababd20e9,300
6b73c9ab2e918f7d85e947b3881e2f9ac01ba1f464ba09595475262e4ff73fc2,-1
6c2e9015d78d3f49828ddf5bea7ecbd28be26caace8b2adbcd26c59eaa9eac23,103
6c30c1b1e4a2b292520dd8516a63c2fc0bd0925073b19d424289234b59c39c4f,17
6cd0ed46a9a905307ff30d8b99fc5ca8b6e1dceb4f3b4f3c30a2b2949d9ddbc3,-1
6f3836c8b909ad2753c4d9f5ff643b665a7a336aea857801baf23666f0de2b34,-1
6f73b07ff280f8ab28eaa6dc275ab9840268faada5c4adfc0fe40aec1a15f1af,18
6fe598e09e1805df88246b71ca02c9d0c0a4f33e8fbfb7c5e59ff1882899f7f4,41
7053c6409165ed54b42b85e85c01d72fb8641ace724b0c697d7762ff6f83b039,25
7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444,-1
705ceb15dcf386c1df3b529f229bea20a994c75e1b8ddc1a76c171a15520586b,-1
71557048ba0c0f9cbc7e8c5defc1688542c938a1b91a2d0bb3c4c3290e6c812e,-1
7274fab94929c985f8d0249f0d841c8a5f211243f9ac0106a1d6606e1a493fb1,10
733109d28a3e6d9245ea54be45a8440ef32ada45578c1606b7754ce9917ad1ae,-1
73833bc05c20fa40a62d20f138b7b71275504e586e1c736f44215aebaca2fc3d,1
7384d83065376a4fcccb0b25c840704e1012b3467420e0a609816540bda3ad17,65
7414c00a2966fea867d2709704dae5787d9c8e7690663623ed19c62cf5b02a7a,25
749ea8acd0bf85b9610e9ede074eb8475eed2b1eb4f2404f8353f1ffc9a99c96,41
755daa0a07ddac21d25cfa08fb0a0bfd2cb9a539ddd4658888d662d30c9549a4,-1
7592a555d0d50bf7844d07f0f1c346b6062819cb47863c2f3af9c46c6fe3968b,27
76b5d6f58c019347ef23ddae1e190f368c1976adc72bb10ee4dd6504c4fc1563,-1
76c25c1c6cdb4d44f817a79558d4eb2301169c204aafa431df7f18168e7605bb,42
76d7db481c2f5a8efb1f47b0ffcc63f3766f2791b30320c4fecde155b3ad28fe,19
773b254a277d51a73d83ecd753e5c34ee2ae5b72b5ccfdf61c4cc7bd3e759e40,47
777b5e1e380b516359eb70605aee15b4f502a52005b239f5857dbdef6949ce45,-1
77b41cd1a1cc9b393e49c7401ef8ba4781adbe9022bfb249275f7b5d85a2091c,46
77d71d59578d17b2a5d6859ed372e7409a276e55e9aa9056392ddfeeee7855ac,-1
77da1087f91eafee42797dbaa9bebef573d2eb759b39d9db130c99d34cbe4ec4,958
78ea004d3c7b3e0314a033a75543021c5ffc2684307dce91d8c1864dcd346166,100
78ed5fbfa690db98ab8cf1ee50a20e13a6e7cf4e7c8d682a25e0b46e09376524,32
79cdc3e1c43097bd770fcf43fbd54109178ef6c6e8ed0aa7903914919bb3094e,-1
